2016-01-04,43
2016-01-05,35
2016-01-06,35
2016-01-07,27
2016-01-08,26
2016-01-11,17
2016-01-12,16
2016-01-13,18
2016-01-14,15
2016-01-15,10
2016-01-19,9
2016-01-20,11
2016-01-21,13
2016-01-22,14
2016-01-25,15
2016-01-26,16
2016-01-27,18
2016-01-28,18
2016-01-29,26
2016-02-01,26
2016-02-02,26
2016-02-03,24
2016-02-04,25
2016-02-05,17
2016-02-08,17
2016-02-09,15
2016-02-10,17
2016-02-11,18
2016-02-12,21
2016-02-16,29
2016-02-17,37
2016-02-18,43
2016-02-19,43
2016-02-22,50
2016-02-23,50
2016-02-24,53
2016-02-25,53
2016-02-26,52
2016-02-29,55
2016-03-01,61
2016-03-02,66
2016-03-03,69
2016-03-04,68
2016-03-07,71
2016-03-08,70
2016-03-09,71
2016-03-10,72
2016-03-11,75
2016-03-14,74
2016-03-15,75
2016-03-16,75
2016-03-17,78
2016-03-18,79
2016-03-21,76
2016-03-22,76
2016-03-23,70
2016-03-24,72
2016-03-28,64
2016-03-29,67
2016-03-30,67
2016-03-31,71
2016-04-01,74
2016-04-04,73
2016-04-05,72
2016-04-06,72
2016-04-07,72
2016-04-08,68
2016-04-11,66
2016-04-12,66
2016-04-13,70
2016-04-14,70
2016-04-15,70
2016-04-18,72
2016-04-19,73
2016-04-20,75
2016-04-21,75
2016-04-22,74
2016-04-25,71
2016-04-26,71
2016-04-27,72
2016-04-28,70
2016-04-29,67
2016-05-02,69
2016-05-03,63
2016-05-04,63
2016-05-05,60
2016-05-06,60
2016-05-09,60
2016-05-10,62
2016-05-11,62
2016-05-12,61
2016-05-13,59
2016-05-16,58
2016-05-17,54
2016-05-18,56
2016-05-19,54
2016-05-20,55
2016-05-23,57
2016-05-24,63
2016-05-25,68
2016-05-26,74
2016-05-27,78
2016-05-31,77
2016-06-01,78
2016-06-02,79
2016-06-03,77
2016-06-06,79
2016-06-07,80
2016-06-08,80
2016-06-09,79
2016-06-10,63
2016-06-13,54
2016-06-14,54
